column,kind,missing_rate,flag_high_missing,flag_near_constant,corr,auc,rank_metric,cramers_v,fraud_rate_spread
V288,numeric,0.0021488806854743116,False,False,0.03532020787437091,0.5316425680903731,0.5316425680903731,,
V314,numeric,0.0021488806854743116,False,False,0.038535327801320414,0.5308054034580291,0.5308054034580291,,
V127,numeric,0.0005317167338368274,False,False,-0.002628643139588731,0.5304903658848577,0.5304903658848577,,
V55,numeric,0.13055169844549055,False,False,0.05011376566322531,0.5303692410550118,0.5303692410550118,,
V191,numeric,0.763553696616656,False,False,0.05519191286048414,0.5301906550507819,0.5301906550507819,,
V271,numeric,0.7605310393876791,False,False,0.02724846773531291,0.5298552810014319,0.5298552810014319,,
V96,numeric,0.0005317167338368274,False,False,-0.0054844636635398855,0.5297308778452932,0.5297308778452932,,
V272,numeric,0.7605310393876791,False,False,0.025381832704811154,0.5289960028784497,0.5289960028784497,,
V227,numeric,0.7605310393876791,False,False,0.01699191919167149,0.5289692057976353,0.5289692057976353,,
V46,numeric,0.2861262573238053,False,False,0.12599085488591907,0.5289497132440939,0.5289497132440939,,
V156,numeric,0.8612371727571375,False,False,0.2759520895145742,0.5286574485464481,0.5286574485464481,,
V157,numeric,0.8612371727571375,False,False,0.23486636956002344,0.5283064387230867,0.5283064387230867,,
V252,numeric,0.7791343516103905,False,False,0.15336400048669868,0.5280979385381271,0.5280979385381271,,
V270,numeric,0.7605310393876791,False,False,0.01568311590889753,0.5280873445171825,0.5280873445171825,,
V149,numeric,0.8612371727571375,False,False,0.2732821052990529,0.5279411654394609,0.5279411654394609,,
V5,numeric,0.47293494090154775,False,False,0.03690397255425023,0.5279290890020576,0.5279290890020576,,
V309,numeric,2.0320384732617603e-05,False,False,0.02025580729981614,0.5273332573277287,0.5273332573277287,,
V147,numeric,0.8612371727571375,False,False,0.2428943745397718,0.526984601103757,0.526984601103757,,
V284,numeric,2.0320384732617603e-05,False,False,0.035309303035049616,0.5266459122536717,0.5266459122536717,,
V196,numeric,0.763553696616656,False,False,0.03826621548403175,0.5264871593443442,0.5264871593443442,,
V268,numeric,0.7791343516103905,False,False,-0.005161072679026325,0.5260385020032184,0.5260385020032184,,
